created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet
2021-03-09 10:11:56,1369229459220557831,"Houston, TX","RT @Nike: Black women are rarely recognized for the hard work they put in. It’s not just magic, they are the real thing. 

Join us in celeb…",s_ungodly,CˣH studios,Sun Aug 30 23:46:08 +0000 2020,[],0,4495
2021-03-09 10:11:43,1369229402752622597,"Edo, Nigeria",RT @realKatiendas: Just to clarify for those asking...the package has both a Nike sneakers AND a rubber shoe. This is the rubber shoe. If y…,emetohikenna,Emetoh Alexander,Sat Jun 11 19:31:55 +0000 2016,[],0,7
2021-03-09 10:11:33,1369229361975599104,,"last sizes
Air Force 1 Low ""Popcorn""
» https://t.co/mwHF472fXw https://t.co/ScfHFl1jdh",sneakerb0b,sneakerb0b,Sat Mar 10 18:10:59 +0000 2007,"[{'url': 'https://t.co/mwHF472fXw', 'expanded_url': 'https://snkrb0b.de/38nLf40', 'display_url': 'snkrb0b.de/38nLf40', 'indices': [39, 62]}]",0,0
2021-03-09 10:11:30,1369229350319525892,Japan.,"RT @sneakerfiles: Nike Air Max 97 ‘USA Denim’ Official Images
https://t.co/A9oF8GXsUE https://t.co/zfMLkpvm1T",Variasion_Co,North U from..street,Tue Dec 03 10:49:23 +0000 2013,"[{'url': 'https://t.co/A9oF8GXsUE', 'expanded_url': 'https://www.sneakerfiles.com/nike-air-max-97-dj5171-600-release-date-info/', 'display_url': 'sneakerfiles.com/nike-air-max-9…', 'indices': [62, 85]}]",0,4
2021-03-09 10:11:23,1369229318921060353,"London, England",@ogreavesx @Nike Great content bro 🤝,MrManima,Masibu,Fri Aug 14 15:50:28 +0000 2009,[],0,0
2021-03-09 10:11:05,1369229244883144708,"Surulere, lagos-state","RT @thrillsboi: Nike Air Force 1

Price 25k

Kindly retweet 🙏 https://t.co/ShTGutDQiy",LadyOnTop01,👸🏻LadyOnTop👸🏻,Fri Sep 27 20:52:09 +0000 2019,[],0,67
2021-03-09 10:11:00,1369229223173386244,,"RT @bobohuri: the last time we heard jiyong's voice was during nike interview last year and now we able to hear it again, pls don't touch m…",firstoryz,ควอนเฟิส,Sat Aug 24 15:33:28 +0000 2019,[],0,34
2021-03-09 10:10:56,1369229208413671429,Tabernacle of the Almighty ,"RT @Nike: Black women are rarely recognized for the hard work they put in. It’s not just magic, they are the real thing. 

Join us in celeb…",Benzo8_,Mercédes,Tue Nov 13 22:09:20 +0000 2018,[],0,4495
2021-03-09 10:10:52,1369229191653306371,Somewhere,"RT @SoleSavy: The Nike Kobe 6 Protro ""All-Star"" is officially set to launch on March 15th. 🏀

Where do these rank among Kobe 6 colorways fo…",jyyz2416,Jyyz2416 R.I.P. KOBE & GIGI🙇🏾‍♂️👼🏾😭,Thu May 17 00:11:00 +0000 2018,[],0,6
2021-03-09 10:10:45,1369229161487872007,,This Louis x #footballindex is the best crossover since Nike signed Jordan,SteR_FI,Stephen Roberts,Fri Jan 04 14:03:07 +0000 2019,[],4,0
2021-03-09 10:10:41,1369229143167107073,Abeokuta,"RT @Boboye_Ak: Pls rt.🥺

Nike Air Jordan VIs

DM to get yours.

Price=&gt; 28k(WITH FREE DELIVERY)

pls rt.🥺 https://t.co/0U92WYPfr2",10ademola,ahdemola,Thu Dec 25 18:05:53 +0000 2014,[],0,43
2021-03-09 10:10:21,1369229059352272898,Japan.,"RT @titoloshop: ONLINE NOW 🍿 buttering up the Blazer Mid '77 with this ""Pop Corn"" inspired version 🎬 Get yours 📲 https://t.co/DhV9ghhmGT

s…",Variasion_Co,North U from..street,Tue Dec 03 10:49:23 +0000 2013,"[{'url': 'https://t.co/DhV9ghhmGT', 'expanded_url': 'https://bit.ly/3rsGs8V', 'display_url': 'bit.ly/3rsGs8V', 'indices': [113, 136]}]",0,2
2021-03-09 10:10:18,1369229045913645056,Singapore,"RT @bobohuri: the last time we heard jiyong's voice was during nike interview last year and now we able to hear it again, pls don't touch m…",jiyongsxxi,🔥hi-kun🔥,Sun Jun 17 15:18:42 +0000 2018,[],0,34
2021-03-09 10:10:16,1369229040519938048,Streets Of Twitter,"RT @Boboye_Ak: Pls rt.🥺

Nike Air Jordan VIs

DM to get yours.

Price=&gt; 28k(WITH FREE DELIVERY)

pls rt.🥺 https://t.co/0U92WYPfr2",thebiscolumbo,KILONSO,Sun Jun 04 01:02:40 +0000 2017,[],0,43
