Date,Open,High,Low,Close,Adj Close,Volume
2017-11-07,535.5,539.4000244140625,523.0,527.1500244140625,526.4961547851562,9642624
2017-11-08,537.7000122070312,551.9000244140625,533.5999755859375,544.8499755859375,544.1741333007812,19642327
2017-11-09,548.9500122070312,555.4500122070312,533.0,540.4000244140625,539.729736328125,11290503
2017-11-10,534.9500122070312,548.9500122070312,532.4500122070312,544.7999877929688,544.1242065429688,9869691
2017-11-13,557.0,564.5499877929688,534.0499877929688,537.3499755859375,536.6834716796875,21701958
2017-11-14,537.3499755859375,549.9500122070312,532.5999755859375,545.6500244140625,544.9732055664062,10644657
2017-11-15,546.5,551.4000244140625,537.0999755859375,542.0,541.3276977539062,7814066
2017-11-16,544.0,548.5,541.2000122070312,542.5999755859375,541.9269409179688,5176117
2017-11-17,550.0,557.4000244140625,540.5499877929688,542.4000244140625,541.7272338867188,4373503
2017-11-20,542.25,547.5,536.75,545.1500244140625,544.4738159179688,3458524
2017-11-21,547.0,548.9000244140625,539.1500244140625,546.7999877929688,546.1217651367188,5770768
2017-11-22,546.5499877929688,547.0,539.0,540.5,539.82958984375,4536211
2017-11-23,542.4000244140625,547.7999877929688,535.5499877929688,544.1500244140625,543.47509765625,10724159
2017-11-24,544.9500122070312,547.7000122070312,541.0499877929688,545.5,544.8233642578125,3947490
2017-11-27,544.0999755859375,561.8499755859375,540.9500122070312,559.4000244140625,558.7061767578125,9301318
2017-11-28,559.5,565.9000244140625,558.0,562.5499877929688,561.8522338867188,10113136
2017-11-29,560.5499877929688,562.2000122070312,546.7999877929688,549.5,548.8184204101562,6387037
2017-11-30,547.1500244140625,547.5,534.1500244140625,535.4000244140625,534.7359008789062,19370807
2017-12-01,539.4000244140625,539.9000244140625,531.9000244140625,533.8499755859375,533.1878051757812,7138045
2017-12-04,536.2000122070312,540.8499755859375,529.6500244140625,534.9500122070312,534.2864990234375,4181453
2017-12-05,535.0,537.8499755859375,530.75,533.1500244140625,532.4887084960938,6167602
2017-12-06,532.2000122070312,534.5,529.2000122070312,530.5,529.8419799804688,4234770
2017-12-07,532.9000244140625,538.0,529.0999755859375,534.0499877929688,533.3875732421875,3528298
2017-12-08,536.7000122070312,544.5,536.5999755859375,542.5,541.8270874023438,6007380
2017-12-11,550.0,552.25,542.7000122070312,545.0999755859375,544.423828125,5326031
2017-12-12,544.0,544.0,535.0999755859375,538.5999755859375,537.931884765625,5232189
2017-12-13,538.0,543.0,533.0499877929688,535.75,535.08544921875,4163419
2017-12-14,537.0,543.4000244140625,534.75,541.4500122070312,540.7784423828125,3558224
2017-12-15,552.2000122070312,552.4000244140625,543.0499877929688,547.9500122070312,547.2703247070312,6059220
2017-12-18,537.9500122070312,553.7999877929688,530.0,548.6500244140625,547.969482421875,5889302
2017-12-19,549.25,556.0,545.4000244140625,553.6500244140625,552.9633178710938,4325512
2017-12-20,553.5,557.7999877929688,548.5999755859375,554.5,553.8121948242188,3534649
2017-12-21,551.7999877929688,556.9500122070312,545.0499877929688,548.9500122070312,548.2691040039062,5781370
2017-12-22,549.9000244140625,554.7999877929688,547.0999755859375,553.5999755859375,552.913330078125,3075576
2017-12-26,555.0,557.25,550.2999877929688,555.0,554.3115844726562,3272086
2017-12-27,554.0,560.6500244140625,551.0,554.5999755859375,553.9120483398438,4163259
2017-12-28,546.1500244140625,554.2000122070312,544.0,546.8499755859375,546.1716918945312,8433564
2017-12-29,548.2000122070312,567.8499755859375,547.0,563.9500122070312,563.25048828125,8363189
2018-01-01,563.7999877929688,569.7999877929688,560.5,565.5,564.798583984375,6943234
2018-01-02,567.0,568.5999755859375,556.3499755859375,559.5,558.8060302734375,6292268
2018-01-03,561.2999877929688,565.4500122070312,555.75,560.4500122070312,559.7548217773438,3990149
2018-01-04,564.8499755859375,565.0,558.0,559.9000244140625,559.20556640625,2766664
2018-01-05,561.0499877929688,566.0,556.7000122070312,563.25,562.5513305664062,3249056
2018-01-08,565.7999877929688,568.0,562.4500122070312,565.4500122070312,564.7486572265625,3770339
2018-01-09,564.0,573.0,563.0,565.2999877929688,564.5988159179688,4607504
2018-01-10,566.1500244140625,566.7000122070312,560.4500122070312,562.7999877929688,562.1019287109375,2411625
2018-01-11,562.0,563.1500244140625,553.5499877929688,558.75,558.0569458007812,2825921
2018-01-12,560.2000122070312,563.4000244140625,552.5,555.0999755859375,554.4114379882812,6013121
2018-01-15,556.7000122070312,564.4500122070312,556.4000244140625,560.5499877929688,559.8546752929688,3943472
2018-01-16,562.9500122070312,566.9000244140625,555.7999877929688,563.2000122070312,562.5014038085938,5993564
2018-01-17,564.0499877929688,589.2999877929688,561.0,585.2000122070312,584.47412109375,8453944
2018-01-18,596.0,597.1500244140625,578.5999755859375,584.7999877929688,584.0746459960938,9466991
2018-01-19,584.9000244140625,594.0,581.2000122070312,590.25,589.5178833007812,3897048
2018-01-22,595.9500122070312,621.75,583.1500244140625,611.5499877929688,610.7914428710938,21790443
2018-01-23,616.4000244140625,627.5999755859375,611.4500122070312,620.0999755859375,619.330810546875,14286343
2018-01-24,621.9000244140625,621.9000244140625,606.2999877929688,607.9500122070312,607.1959228515625,6158610
2018-01-25,610.0,619.25,598.5999755859375,616.0999755859375,615.3357543945312,6749846
2018-01-29,614.5499877929688,620.9000244140625,603.6500244140625,605.5499877929688,604.7988891601562,7017160
2018-01-30,605.5999755859375,607.4500122070312,592.4500122070312,593.75,593.0135498046875,6447963
2018-01-31,589.2999877929688,596.0,587.1500244140625,593.5999755859375,592.8637084960938,7108060
2018-02-01,593.5999755859375,610.0,586.0999755859375,592.7999877929688,592.064697265625,7839731
2018-02-02,587.7999877929688,587.7999877929688,561.2999877929688,564.9000244140625,564.1993408203125,6185174
2018-02-05,551.0999755859375,568.6500244140625,547.5,566.25,565.5476684570312,9318595
2018-02-06,543.0,577.0499877929688,534.0,563.7000122070312,563.0007934570312,13938327
2018-02-07,568.0,574.6500244140625,556.0,559.3499755859375,558.6561889648438,7679830
2018-02-08,562.7999877929688,576.9000244140625,559.7000122070312,568.4500122070312,567.7449340820312,5816886
2018-02-09,559.9000244140625,561.9500122070312,550.4000244140625,557.5499877929688,556.8583984375,5865587
2018-02-12,563.7000122070312,568.0,560.3499755859375,564.2000122070312,563.5001831054688,4765319
2018-02-14,565.0,565.8499755859375,540.0999755859375,543.9000244140625,543.2254028320312,6478108
2018-02-15,534.75,554.7999877929688,531.3499755859375,543.7000122070312,543.025634765625,11593643
2018-02-16,547.0499877929688,548.5999755859375,535.0,537.8499755859375,537.182861328125,3910503
2018-02-19,537.8499755859375,544.9500122070312,527.5,540.5499877929688,539.8795166015625,4251723
2018-02-20,542.0,548.0499877929688,529.4000244140625,531.7000122070312,531.04052734375,3395183
2018-02-21,534.0,538.5,524.4000244140625,535.7999877929688,535.1353759765625,4638382
2018-02-22,533.0,533.75,527.5,530.25,529.59228515625,7808359
2018-02-23,527.0,538.9000244140625,525.5499877929688,536.6500244140625,535.984375,3888629
2018-02-26,541.0999755859375,554.4000244140625,539.0,552.2999877929688,551.6149291992188,5297794
2018-02-27,551.5999755859375,551.5999755859375,536.1500244140625,538.4000244140625,537.732177734375,4136383
2018-02-28,534.0,536.5,520.0,528.75,528.0941772460938,6626661
2018-03-01,524.0,535.5499877929688,522.0,525.75,525.097900390625,9827510
2018-03-05,524.0,528.9500122070312,521.2999877929688,524.5499877929688,523.8993530273438,6766199
2018-03-06,526.0,530.6500244140625,511.20001220703125,517.3499755859375,516.708251953125,12240160
2018-03-07,510.8999938964844,517.9000244140625,507.54998779296875,512.6500244140625,512.01416015625,10428057
2018-03-08,518.4500122070312,523.9500122070312,507.45001220703125,520.5499877929688,519.904296875,8483978
2018-03-09,522.4500122070312,522.5499877929688,503.0,505.3500061035156,504.7231750488281,4955525
2018-03-12,510.6000061035156,521.9500122070312,505.29998779296875,519.2000122070312,518.5560302734375,5283334
2018-03-13,517.0999755859375,534.9500122070312,514.6500244140625,531.5,530.8407592773438,7846232
2018-03-14,528.9500122070312,538.0,522.5,536.1500244140625,535.4849853515625,4976540
